hour_est,total_comments,controversial_comments,controversy_rate
0,302223,13900,0.046
1,435797,19206,0.0441
2,509662,21872,0.0429
3,515893,22153,0.0429
4,505468,21762,0.0431
5,553100,23901,0.0432
6,691041,30393,0.044
7,951931,41246,0.0433
8,1256451,53649,0.0427
9,1559080,67783,0.0435
10,1779558,76752,0.0431
11,1908166,80268,0.0421
12,1951046,79629,0.0408
13,1876692,75409,0.0402
14,1752300,69871,0.0399
15,1634456,64352,0.0394
16,1402048,56715,0.0405
17,1096151,47612,0.0434
18,734362,32946,0.0449
19,345638,16301,0.0472
20,96460,4887,0.0507
21,9120,499,0.0547
22,11506,689,0.0599
23,117157,5981,0.0511
