year,month,total_comments,controversial_comments,controversy_rate
2023,6,1225633,49634,0.04049662500928092
2023,7,1054520,17675,0.016761180442286538
2023,8,1373473,155,0.00011285260066998041
2023,9,1281183,9,7.024757587323591e-06
2023,10,2136501,1313,0.000614556230022827
2023,11,1635159,107405,0.06568474380778873
2023,12,1437116,88421,0.06152669652275808
2024,1,1713483,95291,0.05561245719975045
2024,2,1624446,91115,0.05608989156918728
2024,3,1656672,82247,0.04964591663286396
2024,4,1522764,92018,0.06042827384939491
2024,5,1678957,103240,0.06149055633944169
2024,6,1485030,78758,0.05303461882924924
2024,7,2170369,120495,0.055518209115592784
